senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Francis Rooney,RepRooney,"",12,1,8.33,0,0.0,0.0,"[""https://twitter.com/RepRooney/status/876145781044019201""]",[]
John H. Rutherford,RepRutherfordFL,"",13,1,7.69,0,0.0,0.0,"[""https://twitter.com/RepRutherfordFL/status/875456383814164480""]",[]
Mark Sanford,RepSanfordSC,"",23,0,0.0,0,0.0,0.0,[],[]
"F. James Sensenbrenner, Jr.",JimPressOffice,"",4,0,0.0,0,0.0,0.0,[],[]
Pete Sessions,PeteSessions,"",13,2,15.38,0,0.0,0.0,"[""https://twitter.com/PeteSessions/status/874749525549821952"", ""https://twitter.com/PeteSessions/status/874651726279839744""]",[]
John Shimkus,RepShimkus,"",23,2,8.7,0,0.0,0.0,"[""https://twitter.com/RepShimkus/status/874369015354990593"", ""https://twitter.com/RepShimkus/status/874292993435545603""]",[]
Christopher H. Smith,RepChrisSmith,"",7,0,0.0,0,0.0,0.0,[],[]
Lamar Smith,LamarSmithTX21,"",15,0,0.0,0,0.0,0.0,[],[]
Michael K. Simpson,CongMikeSimpson,"",2,0,0.0,0,0.0,0.0,[],[]
Bill Shuster,RepBillShuster,"",4,0,0.0,0,0.0,0.0,[],[]
Adrian Smith,RepAdrianSmith,"",11,0,0.0,0,0.0,0.0,[],[]
